CID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C50,National,Western,Завхан,MN81,Их-Уул,MN8101,"2-р баг, Үржил","2-р баг, Үржил",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.54,1.71,1.84,1.97,2.08,2.39,2.74,2.63
C51,National,Western,Завхан,MN81,Их-Уул,MN8101,"3-р баг, Хуягт","3-р баг, Хуягт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,3.34,3.88,4.24,4.67,4.91,5.43,5.74,5.56
C52,National,Western,Завхан,MN81,Их-Уул,MN8101,"4-р баг, Хонгор","4-р баг, Хонгор",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,2.47,2.77,3.07,3.19,3.63,4,4.76,4.7
C53,National,Western,Завхан,MN81,Их-Уул,MN8101,"5-р баг, Цэцүүх","5-р баг, Цэцүүх",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,5.19,6.22,6.54,6.2,6.86,7.49,8.29,8.27
C54,National,Western,Завхан,MN81,Их-Уул,MN8101,"6-р баг, Зарт","6-р баг, Зарт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,6.05,7.09,7.9,7.63,7.87,8.37,9.23,9.04
C55,National,Western,Завхан,MN81,Нөмрөг,MN8111,Нөмрөг,,,Үхэр,5.58,5.98,6.09,5.87,5.87,5.37,5.74,5.07,5.31,5.49,5.51,4.99,4.32,4.52,5.17,5.5,5.81,6.06,6.07,6.58,6.69,6.71,6.7,6.71,7.73,9.25,10.46,12.47,13.37,11.99,4.78,1.68,1.51,2,2.41,3.13,4.04,5.25,5.86,6.04,2.85,3.47,4.07,4.91,6.14,7.27,8.49,8.93,9.37,10.66,10.96
C56,National,Western,Завхан,MN81,Нөмрөг,MN8111,"1-р баг, Хөдрөг","1-р баг, Хөдрөг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.55,0.68,0.76,0.97,1.01,1.11,1.19,1.42
C57,National,Western,Завхан,MN81,Нөмрөг,MN8111,"2-р баг, Баянзүрх","2-р баг, Баянзүрх",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.9,1.08,1.31,1.53,1.63,1.96,2.33,2.19
C58,National,Western,Завхан,MN81,Нөмрөг,MN8111,"3-р баг, Дархан-Уул","3-р баг, Дархан-Уул",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.22,1.53,1.8,1.93,2.14,2.18,2.18,2.15
C59,National,Western,Завхан,MN81,Нөмрөг,MN8111,"4-р баг, Нуур","4-р баг, Нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.16,1.45,1.7,2.08,1.99,1.95,2.36,2.56
C60,National,Western,Завхан,MN81,Нөмрөг,MN8111,"5-р баг, Хайрхан","5-р баг, Хайрхан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.08,1.39,1.71,1.97,2.16,2.18,2.6,2.64
C61,National,Western,Завхан,MN81,Отгон,MN8107,Отгон,,,Үхэр,9.13,10.3,10.62,10.99,11.41,11.77,11.94,12.91,14,14.43,14.49,14.72,14.76,14.89,14.45,12.37,12.41,12.45,11.45,11.95,12.93,13.77,13.34,11.28,12.32,14.02,15.83,17.52,18.73,19.43,14.66,11.46,11.2,12.34,11.04,11.33,13.85,15.25,14.6,14.3,5.4,6.27,7.29,8.17,9.13,10.17,10.89,12.59,14.05,15.41,14.66
C62,National,Western,Завхан,MN81,Отгон,MN8107,"1-р баг, Буянт","1-р баг, Буянт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,1.98,2.22,2.54,2.62,2.99,3.19,3.42,3.47
C63,National,Western,Завхан,MN81,Отгон,MN8107,"2-р баг, Баянбулаг","2-р баг, Баянбулаг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.43,1.67,1.93,2.05,2.23,2.64,2.9,2.94
C64,National,Western,Завхан,MN81,Отгон,MN8107,"3-р баг, Бадрал","3-р баг, Бадрал",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,2.05,2.05,2.24,2.45,2.75,3.15,3.37,3.06
C65,National,Western,Завхан,MN81,Отгон,MN8107,"4-р баг, Соёл","4-р баг, Соёл",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.27,1.56,1.61,1.83,2.09,2.19,2.44,1.99
C66,National,Western,Завхан,MN81,Отгон,MN8107,"5-р баг, Онц","5-р баг, Онц",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.82,0.96,1.08,1.17,1.53,1.72,1.91,1.82
C67,National,Western,Завхан,MN81,Отгон,MN8107,"6-р баг, Хужирт","6-р баг, Хужирт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.62,0.69,0.76,0.78,1.01,1.17,1.36,1.39
C68,National,Western,Завхан,MN81,Сантмаргац,MN8126,Сантмаргац,,,Үхэр,4.45,5.24,5.1,5.31,5.25,4.54,4.39,4.61,4.41,4.24,4.07,3.66,3.77,3.99,4.11,4.51,4.7,5.16,5.26,5.49,5.81,5.67,4.91,5.75,6.88,7.6,7.43,7.62,8,7.16,2.24,2.11,2.22,2.42,2.94,3.09,3.73,4.5,3.79,2.77,2.34,2.59,2.84,3.26,4.15,4.54,4.88,5.64,5.87,6.83,6.86
C69,National,Western,Завхан,MN81,Сантмаргац,MN8126,"1-р баг, Баян-Улаан","1-р баг, Баян-Улаан",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.71,0.93,1.02,1.04,1.21,1.12,1.32,1.38
C70,National,Western,Завхан,MN81,Сантмаргац,MN8126,"2-р баг, Баяннуур","2-р баг, Баяннуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.11,1.41,1.59,1.8,2.01,2.26,2.51,2.46
C71,National,Western,Завхан,MN81,Сантмаргац,MN8126,"3-р баг, Баяндавс","3-р баг, Баяндавс",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.85,1.02,1.12,1.16,1.4,1.48,1.78,1.81
C72,National,Western,Завхан,MN81,Сантмаргац,MN8126,"4-р баг, Холбоо","4-р баг, Холбоо",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,0.79,0.81,0.88,1.02,1.02,1.22,1.22
C73,National,Western,Завхан,MN81,Сонгино,MN8123,Сонгино,,,Үхэр,5.54,6.11,6,5.73,5.25,4.74,4.92,4.68,4.66,4.92,4.89,4.15,3.62,3.83,4.05,4.41,4.7,5.03,5.51,6.09,6.89,7.23,6.78,7.22,8.83,10.4,11.25,12.09,10.62,9.17,3.02,1.37,1.49,1.91,2.41,2.86,3.36,3.88,4.18,3.81,1.74,2.16,2.56,3.08,3.57,4.27,4.93,5.46,5.77,6.47,7.12
C74,National,Western,Завхан,MN81,Сонгино,MN8123,"1-р баг, Баян-Айраг","1-р баг, Баян-Айраг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.66,0.78,0.95,1.12,1.15,1.23,1.34,1.62
C75,National,Western,Завхан,MN81,Сонгино,MN8123,"2-р баг, Айраг нуур","2-р баг, Айраг нуур",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.73,0.86,0.97,1.08,1.26,1.37,1.49,1.49
C76,National,Western,Завхан,MN81,Сонгино,MN8123,"3-р баг, Шар нуруу","3-р баг, Шар нуруу",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.7,0.87,1.06,1.24,1.4,1.44,1.58,1.77
C77,National,Western,Завхан,MN81,Сонгино,MN8123,"4-р баг, Тариат","4-р баг, Тариат",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.62,0.68,0.83,0.96,1.04,1.06,1.23,1.34
C78,National,Western,Завхан,MN81,Сонгино,MN8123,"5-р баг, Бор-Өндөр","5-р баг, Бор-Өндөр",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.37,0.38,0.46,0.54,0.6,0.68,0.82,0.91
C79,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,Тосонцэнгэл,,,Үхэр,1.08,1.26,1.28,1.02,1.08,1.47,1.56,1.55,1.28,1.32,1.46,1.36,1.44,1.75,2.67,4.06,4.1,3.6,3.72,4.63,7.55,6.89,,,,,,,,,23.18,10.71,9.66,8.92,10.18,11.85,14.23,15.84,17.48,16.55,9.42,10.33,11.21,12.16,14.22,15.97,16.28,16.49,17.5,19.25,19.03
C80,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"1-р баг, Дархан-Уул","1-р баг, Дархан-Уул",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.42,0.48,0.59,0.53,0.56,0.55,0.54,0.66
