GID,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G266,Western,Баян-Өлгий,MN83,Алтай,MN8315,Goat,11.15,11.95,11.89,12.9,11.74,11.83,11.72,10.38,11.11,11.69,12.42,13.02,13.22,12.64,13.27,14.41,14.46,13.62,11.64,11.25,11.14,11.62,11.31,11.6,15.56,19.34,22.48,25.56,22.09,23.71,25.62,25.31,27.88,27.76,29.35,27.78,33.49,39.89,40.57,40.63,40.75,43.79,47.32,46.83,51.48,53.79,50.09,50.92,47.87,47.83,52.34
G272,Western,Баян-Өлгий,MN83,Алтанцөгц,MN8304,Goat,16.45,17.04,16.04,18.22,19.45,18.8,18.17,16.23,16.4,16.51,17.39,16.99,18.1,17.08,17.43,16.55,16.07,16.32,17.77,16.42,16.61,14.37,15.35,15.6,20.98,27.51,28.19,34.54,31.8,31.01,28.45,33.99,33.31,38.97,41.14,36.81,45.86,49.91,48.42,27.07,23.85,31.36,35.3,42.54,50.14,53.91,58.71,62.42,60.55,68.68,72.98
G277,Western,Баян-Өлгий,MN83,Баяннуур,MN8303,Goat,32.2,34.1,34.1,39.36,42.02,38.94,40.78,36.8,34.89,38.9,40.9,42.28,42.92,41.13,42.76,41.64,41.23,43.31,50.09,52.02,50.87,39.81,37.34,38.23,44.51,53.71,56.37,63.91,57.37,55.18,55.65,61.09,60.74,71.49,73.17,70.27,76.77,86.2,86.5,63.86,52.08,63.77,68.84,73.71,89.05,94.54,92.86,99.53,95.9,91.25,91.09
G283,Western,Баян-Өлгий,MN83,Бугат,MN8305,Goat,13.53,13.75,14.25,15.1,15.58,13.54,12.04,11.33,10.9,10.46,11.52,11.52,12.65,12.14,12.84,12.6,12.37,11.68,13.12,12.6,11.01,9.5,9.83,15.26,19.05,23,23.07,27.99,23.26,25.72,23.68,27.28,26.54,33.23,34.3,32.13,40.27,45.74,44.84,28.32,23.49,30.79,31.36,39.19,42.8,45.85,51.78,53.96,49.07,53.63,58.84
G289,Western,Баян-Өлгий,MN83,Булган,MN8301,Goat,32.92,35.33,39.01,41.32,39.4,41.12,45.09,42.07,42.98,42.53,33.41,33.1,33.83,34.9,31.6,36.89,38.04,36.07,27.79,32.12,36.21,37.91,37.49,36.69,39.09,47.17,47.93,43.59,46.77,50.97,55.21,52.85,62.59,63.09,65.07,67.2,71.91,79.4,81.45,81.19,35.94,47.65,50.29,55.82,63.05,73.51,81.62,77.63,86.69,81.3,88.42
G297,Western,Баян-Өлгий,MN83,Буянт,MN8314,Goat,12.27,12.09,12.49,13.78,13.97,11.46,11.91,10.38,10.7,11.42,12.12,12.42,12.4,12.04,12.29,12.6,12.11,11.88,12.57,12.06,10.76,9.47,10.01,11.78,14.94,18.61,19.38,22.61,17.97,20.01,21.97,22.19,19.66,23.53,24.51,24.85,29.04,34.29,30.94,24.3,25.19,27.67,29.4,34.66,37.75,40.76,43.25,43.46,37.12,37.37,40.93
G302,Western,Баян-Өлгий,MN83,Дэлүүн,MN8306,Goat,42.81,44.88,46.66,48.76,43.03,43.08,45.57,45.41,47.91,47.24,43.47,40.44,40.19,39.17,34.24,39.9,42.21,42.16,36.75,40.93,40.84,39.2,37.29,45.75,57.61,69.74,75.46,82.4,71.23,77.16,83.77,83.35,73,82.38,86.38,80.92,91.92,96.17,77.77,77.36,77.12,89.54,93.23,105.11,115.59,126.4,132.57,115.77,101.25,99.29,118.71
G315,Western,Баян-Өлгий,MN83,Ногооннуур,MN8310,Goat,21.94,22.35,21.35,22.21,23.3,22.04,22.33,22.04,19.69,20.6,21.95,21.45,23.03,22.41,23.31,22.96,22.98,24.04,23.58,24.67,26.59,24.31,24.54,29.59,33.99,41.27,43.16,48.99,47.29,50.27,46.43,53.92,55.5,64.8,68.2,67.32,75.87,80.16,85.77,70.73,60.16,70.65,74.77,86.14,99.91,105.38,113.31,119.26,119.53,123.37,133.75
G325,Western,Баян-Өлгий,MN83,Сагсай,MN8316,Goat,12.04,11.19,11.19,13.02,11.58,11.97,12.21,12.07,12.63,14,15,15.78,16.92,15.84,17.34,16.72,16.92,16.45,17.77,15.96,14.5,12.91,14.18,16.08,20.3,25.93,28.17,33.62,26.7,29.74,30.75,36.13,30.73,37.39,41.3,40.17,47.91,53.18,48.59,38,32.97,39.88,43.09,47.27,53.34,59.37,62.09,61.95,55.22,52.33,64.44
G333,Western,Баян-Өлгий,MN83,Толбо,MN8308,Goat,22.5,22.4,22.16,23.35,23.52,19.2,20.05,17.37,17.67,18.94,20.01,20.5,20.71,19.58,19.53,19.55,18.77,18.3,18.35,18.05,16.74,15.12,13.71,15.75,20.63,26.39,28.65,32.04,25.37,26.96,26.81,28.46,29.15,33.03,33.47,33.66,37.21,40.04,34.03,32.93,36.62,45.73,48.58,52.33,58.97,60.84,60.78,59.09,52.79,49.57,58.36
