Статистик үзүүлэлт,Засаг захиргааны нэгж,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Даатгуулсан малын тоо,        Дарьганга,"7,704.","10,518.","4,770.","11,471.","3,944.",,82.,"5,709.","7,785.","11,748."
Даатгуулсан малын тоо,            Мөнххаан,"10,239.","10,616.","18,156.","34,711.","36,246.","27,608.","10,298.","33,576.","47,579.","66,871."
Даатгуулсан малын тоо,            Наран,"3,757.","4,597.","1,989.","5,872.","3,300.","2,242.","2,787.","3,390.","11,587.","6,548."
Даатгуулсан малын тоо,            Онгон,"6,007.","26,921.","15,352.","26,030.","18,416.","18,672.","19,869.","20,323.","34,478.","29,947."
Даатгуулсан малын тоо,            Сүхбаатар,"3,707.","1,901.",174.,"4,410.","4,109.","5,014.","6,734.","18,782.","20,291.","20,205."
Даатгуулсан малын тоо,            Түвшинширээ,"26,520.","40,025.","50,727.","37,622.","48,372.","31,469.","36,206.","22,455.","26,351.","31,489."
Даатгуулсан малын тоо,            Түмэнцогт,"19,336.","13,952.","7,232.","8,779.","3,347.","9,972.","8,169.","9,488.","11,677.","24,051."
Даатгуулсан малын тоо,            Уулбаян,"7,235.","8,716.","8,096.","8,537.","9,873.","12,119.","5,266.","9,125.","14,935.","26,079."
Даатгуулсан малын тоо,            Халзан,"7,080.","14,464.","14,684.","16,829.","15,301.","1,433.","3,786.","10,499.","20,369.","13,926."
Даатгуулсан малын тоо,            Эрдэнэцагаан,"12,215.","10,450.","7,435.","9,539.","7,233.","6,787.","12,850.","14,298.","15,302.","25,314."
Даатгуулсан малын тоо,    Хэнтий,"146,111.","108,075.","109,065.","154,362.","105,719.","247,204.","241,579.","317,211.","565,736.","532,673."
Даатгуулсан малын тоо,        Хэрлэн,"9,158.","9,242.","9,606.","9,878.","4,844.","13,413.","15,442.","33,260.","66,626.","44,056."
Даатгуулсан малын тоо,        Батноров,"25,918.","13,955.","15,731.","9,109.","4,326.","15,228.","9,232.","17,339.","43,192.","33,575."
Даатгуулсан малын тоо,        Батширээт,"3,531.",904.,"4,074.","2,998.",563.,512.,109.,"2,890.","4,708.","2,418."
Даатгуулсан малын тоо,        Баян-Адарга,"3,196.","2,258.","2,984.","2,922.",40.,"5,506.","2,291.","14,609.","11,688.","19,425."
Даатгуулсан малын тоо,            Баянмөнх,526.,"1,980.",515.,"6,636.","1,912.","13,933.","7,195.","6,880.","21,639.","21,077."
Даатгуулсан малын тоо,            Баян-Овоо,"36,562.","24,216.","27,540.","35,926.","21,098.","57,493.","46,689.","31,271.","52,202.","66,729."
Даатгуулсан малын тоо,            Баянхутаг,"10,332.","10,769.","5,113.","6,312.","6,079.","21,564.","6,649.","41,616.","51,682.","65,965."
Даатгуулсан малын тоо,            Биндэр,857.,"1,415.",112.,"4,569.","2,728.","2,742.","7,832.","21,254.","21,765.","13,884."
Даатгуулсан малын тоо,            Галшир,"7,684.","4,793.","15,208.","27,147.","29,093.","40,868.","79,796.","37,916.","63,217.","69,281."
Даатгуулсан малын тоо,            Дадал,256.,718.,80.,300.,231.,300.,32.,"1,921.","4,063.","1,989."
Даатгуулсан малын тоо,            Дархан,"6,396.","6,210.",523.,"1,988.",910.,"2,945.",32.,"8,289.","42,284.","41,353."
Даатгуулсан малын тоо,            Дэлгэрхаан,"20,129.","15,486.","15,010.","14,965.","16,486.","24,632.","33,922.","26,260.","36,951.","23,635."
Даатгуулсан малын тоо,            Жаргалтхаан,"9,854.","4,841.","2,178.","4,163.","3,100.","11,451.","5,055.","9,271.","17,055.","7,831."
Даатгуулсан малын тоо,        Мөрөн,"1,118.",939.,118.,"1,474.",172.,"2,259.","6,870.","6,969.","25,061.","20,728."
Даатгуулсан малын тоо,            Норовлин,"2,056.","2,803.","1,497.","3,291.","3,130.","2,626.","4,276.","2,942.","16,987.","15,873."
Даатгуулсан малын тоо,            Өмнөдэлгэр,"7,578.","6,062.","7,612.","17,158.","8,110.","23,160.","10,567.","42,756.","54,049.","64,907."
Даатгуулсан малын тоо,            Цэнхэрмандал,960.,"1,484.","1,164.","3,057.","2,765.","5,544.","2,538.","4,345.","18,942.","15,418."
Даатгуулсан малын тоо,            Бор-Өндөр,,,,"2,469.",132.,"3,028.","3,052.","7,423.","13,625.","4,529."
Даатгуулсан малын тоо,Улаанбаатар,0.,0.,0.,181.,187.,0.,"11,443.","6,210.","8,142.","3,431."
Даатгуулсан малын тоо,    Улаанбаатар,0.,0.,0.,181.,187.,,,,257.,963.
Даатгуулсан малын тоо,        Багануур,,,,,,,,,"7,604.","1,172."
Даатгуулсан малын тоо,        Багахангай,,,,181.,,,,,65.,807.
Даатгуулсан малын тоо,            Налайх,,,,,,,,,216.,489.
Хураамжийн орлого,Улсын дүн,"622,751.9","847,004.7","1,496,753.1","1,798,908.6","1,374,088.2","1,301,525.","1,768,441.3","2,323,981.7","3,452,973.4","3,845,685.1"
Хураамжийн орлого,Баруун бүс,"214,034.3","300,127.5","478,798.1","574,608.8","380,755.8","329,922.","585,109.1","575,319.6","853,415.1","1,058,668.2"
Хураамжийн орлого,    Завхан,"46,932.1","52,029.6","96,035.2","103,467.8","76,082.1","51,554.","79,592.3","129,255.4","184,576.6","245,458.6"
Хураамжийн орлого,        Улиастай,707.5,"1,739.9","2,682.8","1,432.8","1,555.8",453.,100.,"1,260.","5,757.8","5,837.8"
Хураамжийн орлого,        Алдархаан,"4,033.6","1,120.",933.1,"9,284.","4,309.1","4,592.","12,817.1","12,979.4","16,579.9","18,200.1"
Хураамжийн орлого,        Асгат,885.5,741.2,"1,538.5",977.9,358.,249.,0.,756.1,"1,201.7","3,230."
Хураамжийн орлого,        Баянтэс,322.3,"2,596.",872.,"1,572.4","1,007.1",266.,"4,135.6","7,381.9","11,960.1","17,590.2"
Хураамжийн орлого,            Баянхайрхан,892.7,"2,774.9","5,631.9","1,640.3","1,650.6",,"1,600.","3,900.","5,060.","6,030."
Хураамжийн орлого,            Дөрвөлжин,"7,113.5","8,314.3","12,880.2","6,288.3","6,717.4","5,341.","9,823.7","7,232.7","8,668.6","9,975.6"
Хураамжийн орлого,            Завханмандал,"2,450.5","3,845.6","4,073.1","4,491.2","2,346.9","2,787.","1,999.","6,010.8","7,505.4","8,906.3"
Хураамжийн орлого,            Идэр,"1,710.","1,747.4","2,319.9","1,922.4","6,702.2","6,487.","9,021.5","11,114.1","12,514.3","10,985.9"
Хураамжийн орлого,            Их-Уул,"3,285.2",700.,"5,416.4","2,346.6","1,195.1","1,035.",283.5,"4,841.5","6,035.4","12,510."
Хураамжийн орлого,            Нөмрөг,805.2,562.3,"6,420.8","3,300.8",851.2,305.,"1,600.","4,080.5","5,970.","7,590."
Хураамжийн орлого,            Отгон,"1,060.3","1,064.7","1,508.1","4,607.9","5,505.",690.,376.,300.,"11,390.","24,060."
Хураамжийн орлого,            Сантмаргац,"2,875.","2,367.2","4,052.","4,558.8","5,716.9","3,281.","5,356.5","6,287.","5,560.1","11,663.2"
Хураамжийн орлого,            Сонгино,652.8,"1,777.8","1,885.3","1,273.8",840.8,429.,"1,090.","4,880.","4,551.1","9,705.8"
Хураамжийн орлого,        Тосонцэнгэл,"2,512.6","1,146.6","5,248.1","2,389.5","2,782.8","1,341.","1,271.9","7,373.9","12,290.","15,695.5"
Хураамжийн орлого,            Түдэвтэй,"2,152.2","2,837.6","5,555.3","6,971.6","3,785.7","3,705.","5,418.7","7,287.","7,126.1","10,232."
Хураамжийн орлого,            Тэлмэн,"2,600.2",441.5,"4,560.","4,363.6","3,650.5","3,014.","2,256.6","6,630.","5,170.","6,263.8"
Хураамжийн орлого,            Тэс,35.,"1,023.2","1,671.1","5,431.1","5,040.5","1,296.","5,753.3","3,596.5","4,935.6","8,287.1"
Хураамжийн орлого,            Ургамал,"5,573.3","7,804.5","6,511.","9,321.","4,798.8","4,331.","4,623.6","8,989.5","8,642.1","9,112."
Хураамжийн орлого,            Цагаанхайрхан,895.5,858.4,"3,871.8","6,797.2","3,237.8","1,255.","1,622.","3,510.","6,715.2","8,240."
Хураамжийн орлого,            Цагаанчулуут,644.7,457.5,516.9,"3,372.3","1,280.7",161.,80.,"2,860.","9,006.1","4,470."
Хураамжийн орлого,            Цэцэн-Уул,"2,215.1","1,858.9","5,825.9","5,756.3","2,525.7","2,933.","1,921.","4,997.6","5,899.4","8,120.1"
Хураамжийн орлого,            Шилүүстэй,"1,334.1","1,225.7","2,193.6","1,227.5","1,847.3",586.,366.9,"1,827.8","3,183.7","4,999.7"
Хураамжийн орлого,            Эрдэнэхайрхан,"1,838.8","2,464.","6,863.3","5,960.","6,428.4","4,252.","2,807.2","8,181.9","10,525.4","11,672.5"
Хураамжийн орлого,        Яруу,336.5,"2,560.3","3,004.2","8,180.2","1,947.7","2,768.","5,268.4","2,977.4","8,328.4","12,081.3"
Хураамжийн орлого,    Говь-Алтай,"83,193.4","91,275.7","140,047.1","139,444.5","82,109.8","57,420.","57,113.","123,898.4","185,631.5","197,328.6"
Хураамжийн орлого,        Есөнбулаг,"1,607.3","1,115.4","1,072.1","1,600.7","1,598.6","1,539.","5,883.8","3,585.6","7,120.4","10,396.4"
Хураамжийн орлого,        Алтай,"3,143.5","5,059.1","2,185.7","1,028.1",21.6,216.,0.,"1,750.","4,320.","5,422."
Хураамжийн орлого,        Баян-Уул,"5,105.7","3,897.7","8,766.4","4,188.2","4,035.4","4,242.","1,952.8","12,476.5","8,112.3","9,546.5"
Хураамжийн орлого,        Бигэр,"1,159.","3,588.8","1,485.6","1,983.4",86.2,512.,"1,034.5","4,162.8","4,929.7","5,110."
Хураамжийн орлого,            Бугат,"5,854.2","8,229.9","16,897.2","19,368.5","10,100.8","5,530.","8,403.1","6,101.4","20,075.","15,207."
Хураамжийн орлого,            Дарви,"1,541.2","2,040.","4,632.6","3,285.2","6,605.1","3,111.","5,356.6","6,947.5","4,262.8","6,308.7"
Хураамжийн орлого,            Дэлгэр,"4,947.",415.8,"5,352.6","5,922.2","6,335.1","7,893.","4,877.8","14,933.","26,556.7","20,267.2"
Хураамжийн орлого,            Жаргалан,"7,186.5","5,268.","7,394.1","5,598.1","5,154.4","4,071.","5,470.3","11,985.6","12,867.9","16,935.6"
Хураамжийн орлого,            Тайшир,"1,200.5","2,456.2","1,032.6","8,668.8",293.7,518.,"2,302.2","5,644.7","3,807.7","6,629.4"
Хураамжийн орлого,            Тонхил,"15,301.4","24,979.5","51,567.4","27,195.3","3,235.6","2,486.","1,536.4","7,885.8","6,597.2","8,842."
Хураамжийн орлого,            Төгрөг,"1,135.9","4,757.1","1,761.5","3,332.4","2,611.","3,128.",234.1,"5,230.","5,490.","7,764.7"
Хураамжийн орлого,            Халиун,"1,703.7","2,858.","2,571.5",947.1,638.8,375.,374.,"1,694.5","5,664.4","10,152.1"
Хураамжийн орлого,            Хөхморьт,"4,913.2","4,845.3","1,656.",777.,933.6,"1,166.",161.4,"4,140.6","6,210.","9,476.6"
Хураамжийн орлого,        Цогт,"5,053.3","3,598.9",207.4,"7,409.6","2,701.8",668.,"2,260.","9,690.9","9,041.1","11,487.9"
Хураамжийн орлого,            Цээл,"4,509.5","1,491.5","2,589.2","3,356.8","4,645.8","1,253.",779.4,"3,999.6","5,503.4","9,875.1"
Хураамжийн орлого,            Чандмань,"9,677.","11,202.7","21,256.5","30,283.5","24,166.","16,407.","13,062.2","10,341.9","29,638.1","14,807.8"
Хураамжийн орлого,            Шарга,"5,383.2","1,084.3","2,120.1","1,886.6","2,718.1","1,653.","1,427.9","6,378.1","7,200.2","9,868.8"
Хураамжийн орлого,            Эрдэнэ,"3,771.4","4,387.7","7,498.7","12,613.","6,228.5","2,653.","1,996.6","6,949.8","18,234.5","19,230.9"
Хураамжийн орлого,    Баян-Өлгий,,,"26,038.2","40,777.6","38,933.9","22,682.","33,346.4","63,784.9","106,056.9","143,647.1"
Хураамжийн орлого,        Өлгий,,,0.,99.4,546.4,,180.,400.,839.6,550.
Хураамжийн орлого,        Алтай,,,"4,171.2","6,771.8","5,633.9","3,235.","2,901.8","5,441.1","7,600.7","12,838.6"
Хураамжийн орлого,        Алтанцөгц,,,"1,438.1","1,128.4",0.,110.,698.6,"3,180.","4,700.","8,050."
Хураамжийн орлого,        Баяннуур,,,"1,542.7","1,542.6","1,852.9",851.,"2,460.","1,841.2","6,369.","8,460."
Хураамжийн орлого,            Бугат,,,20.7,"1,462.3","1,631.4",149.,642.2,"1,540.4","4,464.6","8,523.9"
Хураамжийн орлого,            Булган,,,"9,746.1","4,666.4",754.1,"1,050.","1,480.3","3,690.","4,180.","7,100.8"
Хураамжийн орлого,            Буянт,,,506.,"2,912.1","7,445.5","8,940.","10,467.9","8,319.","13,738.","16,320."
Хураамжийн орлого,            Дэлүүн,,,"4,278.6","5,122.","2,731.1","1,029.",810.,"9,414.7","11,150.","16,471.3"
Хураамжийн орлого,            Ногооннуур,,,736.2,903.3,0.,,"1,440.","3,250.","7,690.","9,500."
Хураамжийн орлого,            Сагсай,,,"1,229.8",828.6,"1,757.1",933.,"2,565.","5,164.","4,800.","6,590."
Хураамжийн орлого,            Толбо,,,408.9,"9,036.1","2,086.4","1,207.","1,609.9","2,403.8","5,210.","8,070."
Хураамжийн орлого,            Улаанхус,,,892.4,510.6,400.,782.,"1,802.","5,640.","8,520.","18,260."
Хураамжийн орлого,        Цэнгэл,,,"1,067.5","5,794.","14,095.","4,397.","6,288.7","13,500.8","26,795.","22,912.5"
Хураамжийн орлого,    Ховд,,"28,149.7","50,769.4","65,497.9","41,218.5","36,833.","80,649.4","72,968.3","119,007.2","182,872.9"
Хураамжийн орлого,        Жаргалант,,0.,148.5,526.6,334.2,,"1,395.","1,170.","3,900.","1,670."
Хураамжийн орлого,        Алтай,,0.,"3,690.7","1,457.2",856.1,"2,717.","3,950.4","2,641.9","7,813.8","8,565.4"
Хураамжийн орлого,        Булган,,"2,333.5","1,228.8","4,444.5",0.,,"2,980.","1,500.","3,340.","6,119.8"
Хураамжийн орлого,        Буянт,,"2,647.6","6,890.","3,588.5",872.,403.,"1,389.5","2,150.7","7,090.3","10,220.2"
Хураамжийн орлого,            Дарви,,"4,569.8","8,746.","7,909.","5,456.1","4,255.","2,946.7","5,354.7","4,965.6","10,978.2"
Хураамжийн орлого,            Дөргөн,,"1,692.7","2,706.8","6,793.9","5,064.4","6,850.","10,671.3","9,781.4","13,032.1","12,960.2"
Хураамжийн орлого,            Дуут,,0.,426.9,"1,032.2","1,641.2",364.,"3,331.2","3,930.7","5,100.","6,491.4"
Хураамжийн орлого,            Зэрэг,,"1,361.2","4,520.3","12,597.1","3,495.4","1,459.","2,901.","2,510.3","9,353.","14,562.7"
Хураамжийн орлого,            Манхан,,"3,411.2","5,039.5","8,163.6","7,875.8","6,635.","16,113.6","10,166.1","12,246.7","17,408.8"
Хураамжийн орлого,            Мөнххайрхан,,246.6,"1,162.3",174.7,"2,886.3","1,791.","4,449.4","3,978.6","8,598.3","11,423.4"
Хураамжийн орлого,            Мөст,,"4,017.3","1,100.","1,750.7",646.,549.,"6,138.9","3,229.8","5,800.1","8,874.3"
Хураамжийн орлого,            Мянгад,,"2,679.6","5,251.8","3,594.7",668.5,"5,519.","7,514.8","3,178.1","7,243.7","14,328.5"
Хураамжийн орлого,            Үенч,,151.2,"3,071.1",707.3,"1,518.6",542.,"1,890.","1,333.4","3,400.4","9,440."
Хураамжийн орлого,        Ховд,,"1,329.4",869.,"1,778.9","1,697.5",285.,"2,856.","2,102.1","5,993.6","9,757.1"
Хураамжийн орлого,            Цэцэг,,126.9,"1,980.4","3,516.8","2,078.3",490.,"2,557.8","7,323.1","6,270.5","6,700."
Хураамжийн орлого,            Чандмань,,"3,298.","3,260.6","6,693.9","4,160.","2,634.","5,883.9","9,649.","9,889.1","26,064.5"
Хураамжийн орлого,            Эрдэнэбүрэн,,284.7,676.7,768.3,"1,968.2","2,341.","3,680.","2,968.6","4,970.1","7,308.5"
Хураамжийн орлого,    Увс,"83,908.8","128,672.4","165,908.2","225,421.","142,411.5","161,432.","334,408.","185,412.6","258,143.","289,361.1"
Хураамжийн орлого,        Улаангом,"1,113.6",915.5,"4,552.6",388.6,738.3,234.,"8,086.7","12,858.3","6,464.4","4,434.5"
Хураамжийн орлого,        Баруунтуруун,"3,646.","3,761.9","10,345.9","10,542.3","7,376.2","9,320.","11,379.","9,381.9","7,787.9","11,335.9"
Хураамжийн орлого,        Бөхмөрөн,"4,381.9","5,185.6","4,001.4","5,807.9","1,528.2","2,664.","15,137.9","15,859.2","12,377.9","11,918.2"
Хураамжийн орлого,        Давст,"1,928.","3,634.3","3,229.5","3,694.4","1,009.9","1,097.","7,079.7","3,867.8","7,351.9","11,097.7"
Хураамжийн орлого,            Завхан,"1,707.3","2,270.7","3,297.","13,043.8","2,190.6","3,263.","6,377.8","8,580.","11,303.6","11,860."
Хураамжийн орлого,            Зүүнговь,"2,188.8","3,155.5","2,304.3","2,582.3","2,691.8","2,151.","18,052.7","10,262.","17,826.8","17,228.7"
Хураамжийн орлого,            Зүүнхангай,"2,207.2","2,158.1","3,680.8","2,528.6","7,069.1","3,857.","8,921.3","3,367.","7,605.7","9,788.9"
Хураамжийн орлого,            Малчин,"2,028.4",872.9,"1,956.3","2,507.5",765.3,450.,"5,956.5","9,209.7","7,100.","4,108.5"
Хураамжийн орлого,            Наранбулаг,"9,381.","21,188.1","32,634.5","43,630.","38,033.","37,298.","54,434.3","32,030.3","36,318.","32,720.9"
Хураамжийн орлого,            Өлгий,"2,982.7","2,476.9",975.3,"2,994.4","2,580.","3,254.","10,585.","6,663.4","8,830.4","19,106.3"
Хураамжийн орлого,            Өмнөговь,"6,833.","6,455.2","6,305.8","22,376.3","2,394.","11,427.","41,593.1","15,685.","33,071.5","35,226.8"
Хураамжийн орлого,            Өндөрхангай,"24,547.9","34,244.9","53,487.7","71,962.2","50,162.7","58,266.","76,128.","6,973.","13,153.1","12,108.4"
Хураамжийн орлого,            Сагил,"1,209.","3,988.6","3,976.6","4,106.5","2,043.8","1,624.","13,604.1","8,470.","9,410.","13,500."
Хураамжийн орлого,        Тариалан,"7,432.5","17,783.1","22,332.3","13,300.9","14,134.9","3,510.","17,844.1","9,082.3","17,720.","23,224.6"
Хураамжийн орлого,            Түргэн,"2,768.8","7,824.6","4,744.8","3,870.","1,769.1","7,549.","14,904.","9,073.3","12,583.6","15,553.2"
Хураамжийн орлого,            Тэс,436.4,"1,557.","1,761.6","1,729.3",804.8,,"3,590.5","9,907.6","19,700.","17,786.4"
Хураамжийн орлого,            Ховд,"5,193.7","6,926.4","2,570.8","7,238.3","1,391.4","2,822.","5,789.7","6,810.","9,737.9","11,529.3"
Хураамжийн орлого,            Хяргас,644.2,"2,123.8","1,001.9","3,093.6","1,819.3","7,169.","3,090.1","3,120.","13,243.1","16,003."
Хураамжийн орлого,            Цагаанхайрхан,"3,278.3","2,149.4","2,749.1","10,024.1","3,909.2","5,477.","11,853.7","4,211.8","6,557.2","10,830."
Хураамжийн орлого,Хангайн бүс,"209,724.4","264,633.6","593,083.9","644,156.2","534,586.6","461,147.","619,222.","1,001,197.9","1,423,516.9","1,264,733.5"
Хураамжийн орлого,    Орхон,0.,0.,"4,577.6","5,480.4","1,926.3","5,161.","1,646.9","3,329.2","4,087.6","3,823.5"
Хураамжийн орлого,        Баян-Өндөр,0.,0.,"3,488.2","5,108.5","1,762.1","1,210.","1,272.3","2,929.2","2,015.","2,615."
Хураамжийн орлого,        Жаргалант,0.,0.,"1,089.5",371.9,164.3,"3,950.",374.6,400.,"2,072.6","1,208.5"
Хураамжийн орлого,    Өвөрхангай,,"12,569.4","40,931.2","36,353.3","43,139.6","26,157.","49,963.5","88,210.6","132,652.8","123,500.3"
Хураамжийн орлого,        Арвайхээр,,733.7,328.5,594.6,"2,055.8",551.,"3,030.2","2,412.3","6,993.9","4,673.6"
Хураамжийн орлого,        Баруунбаян-Улаан,,369.2,"3,670.1","6,148.5","3,576.9","3,391.","6,503.","5,980.6","9,539.9","5,590."
Хураамжийн орлого,        Бат-Өлзий,,"1,033.1","2,087.4","1,714.","3,155.2",762.,"3,423.","3,500.9","8,444.9","10,349.4"
Хураамжийн орлого,        Баянгол,,"1,115.9","1,478.5",429.,300.,640.,"1,830.","1,721.6",730.,230.
Хураамжийн орлого,            Баян-Өндөр,,266.7,670.2,"2,681.5","8,119.2","4,238.","2,177.3","3,721.8","6,331.1","3,803.9"
Хураамжийн орлого,            Богд,,"1,141.3","2,357.1","4,268.3","1,669.5",340.,792.2,"9,350.7","14,515.7","19,269.6"
Хураамжийн орлого,            Бүрд,,456.6,0.,"1,391.7","1,268.2","1,059.","2,081.1","15,461.7","17,632.3","14,043.2"
Хураамжийн орлого,            Гучин-Ус,,359.,"7,235.","3,935.","3,005.","2,148.","2,970.3","3,464.9","7,248.9","5,420."
Хураамжийн орлого,            Есөн зүйл,,"1,041.1","1,968.7",635.6,150.,"1,400.",700.,"1,950.","3,700.","3,860."
Хураамжийн орлого,            Зүүнбаян-Улаан,,"1,552.4","2,534.2",149.7,108.3,219.,740.,"2,800.","3,050.","3,890."
Хураамжийн орлого,            Нарийнтээл,,216.1,807.9,"1,676.8","1,789.3","1,296.","4,365.8","9,740.","11,300.","6,300."
Хураамжийн орлого,            Өлзийт,,745.1,"3,986.2","4,233.4","2,925.","4,064.","2,962.3","5,062.9","8,080.8","5,565.2"
Хураамжийн орлого,            Сант,,36.9,"2,727.4","2,093.6",535.3,602.,"2,568.9","5,350.","13,062.1","26,447.2"
Хураамжийн орлого,        Тарагт,,"1,910.4","3,581.5","1,964.4","1,256.4",820.,"1,445.2","1,992.7","2,230.","2,828.3"
Хураамжийн орлого,            Төгрөг,,877.4,"1,768.7",453.2,"1,302.9",,568.4,"1,418.4","3,880.","1,690."
Хураамжийн орлого,            Уянга,,127.8,"2,242.","1,106.7","7,793.4","3,790.","9,355.7","6,502.2","3,503.2","2,410."
Хураамжийн орлого,            Хайрхандулаан,,208.4,148.3,260.,179.2,335.,"2,950.","1,200.","4,430.","1,120."
Хураамжийн орлого,            Хархорин,,340.,"2,153.7","1,998.","3,300.",200.,900.,"4,750.","5,380.","5,680."
Хураамжийн орлого,            Хужирт,,38.2,"1,185.8",619.2,650.,301.,600.,"1,830.","2,600.",330.
Хураамжийн орлого,    Булган,"12,816.4","10,612.","22,266.","45,676.4","45,476.2","32,833.","59,598.7","166,672.7","144,417.1","157,942.6"
Хураамжийн орлого,        Булган,306.8,"1,644.5",563.3,"2,183.1","2,803.7","1,451.","2,504.1","6,578.6","4,790.","1,790."
Хураамжийн орлого,        Баян-Агт,"1,165.","2,970.7","4,104.9","5,798.6","7,236.5","6,961.","7,918.3","21,473.7","18,313.1","17,181.4"
Хураамжийн орлого,        Баяннуур,439.9,415.7,"2,228.5","4,173.4","2,602.4","2,456.","3,248.5","8,660.","8,056.","11,910."
Хураамжийн орлого,        Бугат,359.6,15.,23.5,"1,380.2",891.5,430.,"1,500.","5,282.5","3,820.","4,760."
Хураамжийн орлого,            Бүрэгхангай,0.,0.,"1,100.","5,705.4","3,884.6","6,890.","4,987.3","18,652.3","13,890.","16,180."
Хураамжийн орлого,            Гурванбулаг,819.,"1,406.4","1,610.4","2,954.5","3,450.8","2,944.","8,286.8","6,680.","8,810.","6,740."
Хураамжийн орлого,            Дашинчилэн,"1,880.7","1,826.5","1,609.2","3,438.8","3,378.9","2,005.","4,067.4","11,110.","5,850.","6,420."
Хураамжийн орлого,            Могод,"3,226.8",0.,630.2,556.,"1,714.7",,400.,"8,258.","8,710.","9,830."
Хураамжийн орлого,            Орхон,"1,380.",700.5,"2,448.3","1,859.8","2,431.","1,354.","4,728.","6,884.8","7,517.1","9,525.9"
Хураамжийн орлого,            Рашаант,792.6,0.,"1,589.1","5,818.9","4,387.6","5,296.","7,430.","12,110.","7,488.5","5,747.8"
Хураамжийн орлого,            Сайхан,551.3,386.7,599.1,"1,841.5","3,719.8",700.,"3,240.","20,110.","14,380.","10,605."
Хураамжийн орлого,            Сэлэнгэ,182.2,301.6,642.8,"1,503.",325.4,,"1,200.","2,450.","2,560.","10,270."
Хураамжийн орлого,            Тэшиг,0.,0.,229.5,244.3,976.4,,"1,901.7","6,130.","8,240.4","7,130."
Хураамжийн орлого,        Хангал,616.7,773.4,"1,874.7","2,025.5","2,917.4",574.,"3,291.4","8,830.4","9,772.1","14,310."
Хураамжийн орлого,            Хишиг-Өндөр,"1,095.8",171.,"1,973.8","3,808.1","3,770.9",681.,"1,584.5","7,070.","6,039.6","8,010."
Хураамжийн орлого,            Хутаг-Өндөр,0.,0.,"1,038.8","2,385.2",984.5,"1,091.","3,310.6","16,392.5","16,180.2","17,532.5"
Хураамжийн орлого,    Баянхонгор,"196,908.","217,361.8","351,067.3","385,732.2","316,372.4","330,117.","387,638.3","470,845.7","764,105.4","540,984.5"
Хураамжийн орлого,        Баянхонгор,"1,968.8","6,154.1","11,670.1","12,261.9","4,930.3","2,512.","8,214.4","4,407.3","7,135.7","4,475.2"
Хураамжийн орлого,        Баацагаан,787.1,"6,559.2","11,446.9","17,780.5","11,839.","7,977.","14,415.6","26,299.6","51,995.5","31,978.8"
Хураамжийн орлого,        Баянбулаг,"4,585.8","9,095.","2,961.6","8,427.3","5,048.9","4,373.","3,240.5","3,560.","9,278.6","9,995.2"
Хураамжийн орлого,        Баянговь,"19,557.","11,666.2","15,465.1","18,135.9","23,943.8","22,025.","12,931.2","15,293.6","55,811.9","11,889.7"
Хураамжийн орлого,            Баянлиг,"2,542.5","4,648.7","12,450.6","16,700.1","20,593.7","17,766.","15,095.2","21,023.1","25,564.5","23,811.6"
Хураамжийн орлого,            Баян-Овоо,"1,556.5","11,618.2","14,011.8","17,527.2","16,184.1","24,620.","13,085.1","15,290.6","29,865.8","17,872."
Хураамжийн орлого,            Баян-Өндөр,"4,167.9",166.2,"5,083.8","13,148.4","4,372.","7,489.","12,863.2","21,951.2","35,399.8","13,926.7"
Хураамжийн орлого,            Баянцагаан,"4,097.8","5,223.7","15,818.9","15,179.1","13,616.4","17,729.","26,769.8","44,911.5","112,438.4","46,023.8"
Хураамжийн орлого,            Богд,"5,827.7","6,252.1","17,182.2","11,804.5","16,593.8","12,550.","19,795.1","18,775.5","37,064.2","22,680.9"
Хураамжийн орлого,            Бөмбөгөр,"5,757.9","5,462.3","18,021.5","18,672.","8,327.1","7,215.","11,296.4","15,064.3","25,297.8","34,218.3"
Хураамжийн орлого,            Бууцагаан,"13,647.8","19,749.3","38,383.7","35,836.3","19,940.2","40,523.","77,595.7","79,926.9","95,530.3","81,491.6"
Хураамжийн орлого,            Галуут,"12,250.8","18,439.","18,725.5","24,722.9","15,870.","18,011.","12,389.9","20,854.2","26,291.2","19,570.3"
Хураамжийн орлого,            Гурванбулаг,"2,443.5","2,553.2","5,573.7","5,629.5","2,070.4","4,103.","2,696.2","7,569.6","10,240.","17,310."
Хураамжийн орлого,        Жаргалант,"3,360.5","7,846.4","12,943.6","10,617.3","9,041.2","7,826.","7,308.9","8,057.1","13,425.5","14,285.7"
Хураамжийн орлого,            Жинст,"4,192.6","7,750.6","23,378.8","35,182.7","42,170.6","43,025.","48,380.","43,039.1","62,122.6","49,577.6"
Хураамжийн орлого,            Заг,"11,916.","21,823.7","20,627.6","21,718.3","15,942.8","11,385.","10,521.","18,187.4","24,667.7","19,009.8"
Хураамжийн орлого,            Өлзийт,"22,343.7","31,307.9","54,623.9","47,594.3","32,321.3","27,513.","27,052.9","34,326.","40,324.8","50,820.4"
Хураамжийн орлого,            Хүрээмарал,"55,617.7","24,380.5","30,712.1","35,126.1","32,042.3","28,953.","35,410.5","40,830.6","49,455.1","15,735."
