Статистик үзүүлэлт,Засаг захиргааны нэгж,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Даатгалд хамрагдсан өрх,            Бөмбөгөр,88.,86.,208.,206.,100.,86.,110.,95.,155.,161.
Даатгалд хамрагдсан өрх,            Бууцагаан,89.,122.,218.,201.,100.,234.,461.,429.,392.,403.
Даатгалд хамрагдсан өрх,            Галуут,193.,297.,303.,307.,226.,208.,156.,303.,283.,195.
Даатгалд хамрагдсан өрх,            Гурванбулаг,18.,26.,50.,68.,28.,73.,30.,93.,158.,184.
Даатгалд хамрагдсан өрх,        Жаргалант,38.,64.,85.,53.,51.,37.,38.,56.,88.,120.
Даатгалд хамрагдсан өрх,            Жинст,67.,143.,318.,332.,333.,268.,263.,261.,314.,332.
Даатгалд хамрагдсан өрх,            Заг,108.,153.,158.,135.,123.,67.,77.,138.,184.,164.
Даатгалд хамрагдсан өрх,            Өлзийт,202.,305.,428.,354.,247.,177.,158.,245.,238.,242.
Даатгалд хамрагдсан өрх,            Хүрээмарал,282.,199.,244.,258.,211.,172.,215.,229.,244.,113.
Даатгалд хамрагдсан өрх,            Шинэжинст,169.,175.,176.,147.,136.,106.,99.,182.,254.,175.
Даатгалд хамрагдсан өрх,            Эрдэнэцогт,69.,93.,162.,148.,142.,184.,203.,180.,213.,219.
Даатгалд хамрагдсан өрх,    Архангай,0.,0.,"2,061.","2,896.","2,382.",602.,"1,305.","1,474.","1,897.","1,805."
Даатгалд хамрагдсан өрх,        Эрдэнэбулган,,,124.,114.,174.,2.,45.,63.,88.,58.
Даатгалд хамрагдсан өрх,        Батцэнгэл,,,190.,229.,263.,13.,93.,82.,94.,100.
Даатгалд хамрагдсан өрх,        Булган,,,77.,134.,70.,22.,70.,54.,106.,112.
Даатгалд хамрагдсан өрх,        Жаргалант,,,30.,220.,35.,,28.,8.,39.,53.
Даатгалд хамрагдсан өрх,            Ихтамир,,,208.,154.,115.,4.,48.,47.,94.,70.
Даатгалд хамрагдсан өрх,            Өгийнуур,,,154.,130.,163.,21.,107.,66.,136.,65.
Даатгалд хамрагдсан өрх,            Өлзийт,,,140.,189.,110.,58.,82.,157.,180.,149.
Даатгалд хамрагдсан өрх,            Өндөр-Улаан,,,129.,111.,121.,85.,83.,65.,79.,108.
Даатгалд хамрагдсан өрх,            Тариат,,,59.,240.,226.,26.,75.,65.,67.,73.
Даатгалд хамрагдсан өрх,            Төвшрүүлэх,,,147.,184.,79.,130.,49.,64.,119.,120.
Даатгалд хамрагдсан өрх,            Хайрхан,,,154.,242.,292.,129.,210.,114.,144.,153.
Даатгалд хамрагдсан өрх,            Хангайн бүс,,,56.,115.,46.,,55.,64.,65.,65.
Даатгалд хамрагдсан өрх,            Хашаат,,,149.,136.,139.,13.,40.,102.,111.,63.
Даатгалд хамрагдсан өрх,        Хотонт,,,133.,164.,56.,12.,103.,167.,192.,209.
Даатгалд хамрагдсан өрх,            Цахир,,,57.,86.,54.,9.,10.,54.,39.,57.
Даатгалд хамрагдсан өрх,            Цэнхэр,,,99.,178.,122.,18.,31.,72.,87.,115.
Даатгалд хамрагдсан өрх,            Цэцэрлэг,,,37.,111.,134.,33.,35.,68.,89.,82.
Даатгалд хамрагдсан өрх,            Чулуут,,,64.,119.,74.,19.,19.,43.,80.,53.
Даатгалд хамрагдсан өрх,            Эрдэнэмандал,,,54.,40.,109.,8.,122.,119.,88.,100.
Даатгалд хамрагдсан өрх,    Хөвсгөл,0.,417.,204.,380.,128.,484.,205.,"1,601.","2,425.","2,042."
Даатгалд хамрагдсан өрх,        Мөрөн,,35.,2.,6.,1.,18.,10.,64.,94.,84.
Даатгалд хамрагдсан өрх,        Алаг-Эрдэнэ,,26.,18.,6.,12.,8.,2.,134.,165.,168.
Даатгалд хамрагдсан өрх,        Арбулаг,,28.,17.,18.,0.,24.,,51.,122.,102.
Даатгалд хамрагдсан өрх,        Баянзүрх,,11.,,,6.,13.,13.,30.,54.,44.
Даатгалд хамрагдсан өрх,            Бүрэнтогтох,,17.,3.,2.,2.,21.,1.,43.,158.,158.
Даатгалд хамрагдсан өрх,            Галт,,12.,4.,12.,4.,114.,,213.,202.,121.
Даатгалд хамрагдсан өрх,            Жаргалант,,52.,57.,25.,2.,36.,,41.,66.,69.
Даатгалд хамрагдсан өрх,            Их-Уул,,13.,14.,20.,20.,3.,1.,33.,104.,127.
Даатгалд хамрагдсан өрх,            Рашаант,,10.,3.,2.,4.,39.,8.,84.,81.,42.
Даатгалд хамрагдсан өрх,            Ренчинлхүмбэ,,17.,2.,9.,0.,,,41.,80.,66.
Даатгалд хамрагдсан өрх,            Тариалан,,19.,1.,,3.,124.,84.,84.,163.,161.
Даатгалд хамрагдсан өрх,            Тосонцэнгэл,,12.,2.,14.,15.,11.,,132.,134.,120.
Даатгалд хамрагдсан өрх,            Төмөрбулаг,,16.,2.,6.,16.,26.,8.,174.,195.,137.
Даатгалд хамрагдсан өрх,        Түнэл,,14.,,,0.,15.,26.,73.,124.,146.
Даатгалд хамрагдсан өрх,            Улаан-Уул,,16.,38.,77.,21.,9.,13.,46.,64.,68.
Даатгалд хамрагдсан өрх,            Ханх,,20.,12.,42.,0.,,,27.,37.,33.
Даатгалд хамрагдсан өрх,            Цагааннуур,,4.,,2.,0.,,,22.,40.,20.
Даатгалд хамрагдсан өрх,            Цагаан-Уул,,27.,12.,1.,0.,1.,8.,146.,82.,110.
Даатгалд хамрагдсан өрх,            Цагаан-Үүр,,15.,13.,,6.,2.,,7.,47.,16.
Даатгалд хамрагдсан өрх,            Цэцэрлэг,,17.,1.,125.,10.,17.,5.,70.,209.,111.
Даатгалд хамрагдсан өрх,            Чандмань-Өндөр,,11.,,5.,5.,,3.,22.,50.,57.
Даатгалд хамрагдсан өрх,            Шинэ-Идэр,,13.,1.,,0.,3.,23.,48.,104.,46.
Даатгалд хамрагдсан өрх,            Эрдэнэбулган,,12.,2.,8.,1.,,,16.,50.,36.
Даатгалд хамрагдсан өрх,Төвийн бүс,212.,883.,"1,775.","3,140.","2,542.","1,769.","4,293.","4,711.","7,424.","7,155."
Даатгалд хамрагдсан өрх,    Төв,0.,0.,158.,720.,528.,432.,"1,795.",993.,"1,888.","1,953."
Даатгалд хамрагдсан өрх,        Зуунмод,,,11.,11.,12.,,84.,15.,47.,20.
Даатгалд хамрагдсан өрх,        Алтанбулаг,,,6.,48.,12.,12.,31.,14.,95.,105.
Даатгалд хамрагдсан өрх,        Аргалант,,,6.,37.,2.,,41.,36.,44.,49.
Даатгалд хамрагдсан өрх,        Архуст,,,10.,21.,0.,2.,41.,11.,21.,62.
Даатгалд хамрагдсан өрх,            Батсүмбэр,,,,72.,16.,10.,34.,21.,21.,16.
Даатгалд хамрагдсан өрх,            Баян,,,1.,9.,17.,18.,89.,51.,58.,71.
Даатгалд хамрагдсан өрх,            Баяндэлгэр,,,5.,22.,40.,22.,30.,22.,63.,87.
Даатгалд хамрагдсан өрх,            Баянжаргалан,,,3.,51.,23.,10.,59.,41.,68.,113.
Даатгалд хамрагдсан өрх,            Баян-Өнжүүл,,,5.,11.,4.,8.,57.,29.,135.,131.
Даатгалд хамрагдсан өрх,            Баянхангай,,,,7.,0.,,50.,19.,41.,47.
Даатгалд хамрагдсан өрх,            Баянцагаан,,,16.,25.,24.,17.,47.,36.,89.,120.
Даатгалд хамрагдсан өрх,            Баянцогт,,,2.,,3.,4.,50.,30.,54.,65.
Даатгалд хамрагдсан өрх,            Баянчандмань,,,11.,27.,54.,34.,35.,27.,46.,50.
Даатгалд хамрагдсан өрх,        Борнуур,,,5.,4.,2.,6.,42.,4.,30.,41.
Даатгалд хамрагдсан өрх,            Бүрэн,,,,82.,84.,50.,147.,137.,123.,92.
Даатгалд хамрагдсан өрх,            Дэлгэрхаан,,,,13.,6.,4.,41.,26.,108.,60.
Даатгалд хамрагдсан өрх,            Жаргалант,,,,65.,125.,84.,76.,49.,63.,113.
Даатгалд хамрагдсан өрх,            Заамар,,,9.,,0.,,20.,10.,43.,86.
Даатгалд хамрагдсан өрх,            Лүн,,,,8.,6.,6.,70.,18.,60.,90.
Даатгалд хамрагдсан өрх,            Мөнгөнморьт,,,13.,8.,12.,9.,63.,36.,74.,100.
Даатгалд хамрагдсан өрх,            Өндөрширээт,,,6.,8.,1.,11.,88.,20.,96.,53.
Даатгалд хамрагдсан өрх,            Сүмбэр,,,10.,16.,0.,,51.,17.,19.,19.
Даатгалд хамрагдсан өрх,            Сэргэлэн,,,17.,21.,7.,3.,28.,31.,43.,51.
Даатгалд хамрагдсан өрх,        Угтаал,,,8.,22.,0.,,44.,5.,15.,43.
Даатгалд хамрагдсан өрх,            Цээл,,,11.,120.,69.,116.,238.,240.,218.,52.
Даатгалд хамрагдсан өрх,            Эрдэнэ,,,2.,5.,0.,,59.,24.,94.,115.
Даатгалд хамрагдсан өрх,            Эрдэнэсант,,,1.,7.,9.,6.,180.,24.,120.,102.
Даатгалд хамрагдсан өрх,    Говьсүмбэр,0.,0.,91.,116.,30.,23.,56.,143.,174.,340.
Даатгалд хамрагдсан өрх,        Сүмбэр,,,65.,68.,16.,12.,30.,108.,155.,264.
Даатгалд хамрагдсан өрх,        Баянтал,,,19.,28.,8.,6.,11.,12.,7.,41.
Даатгалд хамрагдсан өрх,        Шивээговь,,,7.,20.,6.,5.,15.,23.,12.,35.
Даатгалд хамрагдсан өрх,    Сэлэнгэ,100.,310.,400.,423.,523.,233.,406.,402.,812.,585.
Даатгалд хамрагдсан өрх,        Сүхбаатар,11.,1.,9.,42.,42.,,10.,4.,15.,14.
Даатгалд хамрагдсан өрх,        Алтанбулаг,8.,13.,16.,33.,15.,27.,34.,7.,25.,17.
Даатгалд хамрагдсан өрх,        Баруунбүрэн,,1.,12.,,2.,,7.,10.,51.,24.
Даатгалд хамрагдсан өрх,        Баянгол,4.,,18.,46.,67.,41.,67.,66.,100.,60.
Даатгалд хамрагдсан өрх,            Ерөө,1.,13.,6.,6.,2.,,1.,3.,16.,18.
Даатгалд хамрагдсан өрх,            Жавхлант,18.,23.,31.,11.,61.,16.,48.,2.,34.,22.
Даатгалд хамрагдсан өрх,            Зүүнбүрэн,10.,40.,61.,9.,19.,11.,47.,28.,69.,51.
Даатгалд хамрагдсан өрх,            Мандал,1.,12.,10.,3.,9.,,22.,123.,138.,99.
Даатгалд хамрагдсан өрх,            Орхон,7.,13.,29.,30.,30.,26.,4.,18.,28.,36.
Даатгалд хамрагдсан өрх,            Орхонтуул,1.,47.,42.,41.,70.,58.,75.,48.,48.,43.
Даатгалд хамрагдсан өрх,            Сайхан,,13.,7.,28.,30.,,5.,13.,70.,30.
Даатгалд хамрагдсан өрх,            Сант,2.,11.,6.,,3.,,,26.,46.,38.
Даатгалд хамрагдсан өрх,            Түшиг,,7.,5.,17.,20.,,5.,10.,24.,8.
Даатгалд хамрагдсан өрх,        Хүдэр,6.,3.,10.,13.,0.,,7.,5.,10.,6.
Даатгалд хамрагдсан өрх,            Хушаат,18.,25.,11.,34.,20.,,21.,14.,40.,26.
