Index,Bag,ProvinceName,Sumd,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
304,        Баяннуур,Баян-Өлгий,Баяннуур,Хонь,40.27,37.77,37.67,36.67,40.59,37.69,35.63,32.48,29.71,32.96,32.81,34.32,36.9,37.31,38.72,33.81,35.82,39.96,42.56,41.51,43.25,34.1,29.6,28.71,32.84,38.86,37.84,40.53,36.94,33.24,30.93,32.34,32.66,32.67,34.22,32.34,38.21,36.87,35.03,25.91,21.86,26.07,31.07,34.05,43.4,44.77,47.5,54.48,55.08
310,          Бугат,Баян-Өлгий,Бугат,Хонь,42.35,42.61,42.74,46.61,48.23,42.13,40.79,40.17,38.23,40.36,41.02,45.15,46.13,44.16,46.38,44.1,45.24,46.42,49.06,49.82,46.11,38.04,33.12,39.22,43.66,50.54,47.83,51.58,47.23,41.37,35.65,33.01,28.95,29.92,30.75,31.5,35.1,38.24,37.75,26.33,22.23,24.74,25.05,29.79,35.49,39.06,47.52,52.41,51.73
316,          Булган,Баян-Өлгий,Булган,Хонь,37.13,39.74,41.63,41.72,39.91,41.72,44.22,44.02,43.86,46.22,42.12,43.32,44.43,43.27,40.84,45.03,46.35,46.39,41.33,44.78,49.92,51.31,44.19,38.37,36.76,39.32,38.43,32.43,32.6,33.14,33.99,32.44,34.37,34.42,34.25,32.35,31.86,32.71,31.61,32.32,15,17.44,19.4,21.95,27.08,29.89,34.04,32.38,32.01
322,          Буянт,Баян-Өлгий,Буянт,Хонь,32.38,33.23,33.66,34.92,35.4,29.7,30.14,26.69,26.47,28.61,31.68,34.44,34.56,34.3,37.68,38.48,39.09,41.4,45.09,43.71,42.44,37.17,37.17,36.1,40.01,45.38,44.72,48.28,36.49,38.94,40.02,38.43,33.73,35.6,35.92,37.69,40.96,45.18,41.2,34.46,35.89,39.01,49.85,59.16,70.13,75.43,84.67,89.55,79.77
328,          Дэлүүн,Баян-Өлгий,Дэлүүн,Хонь,82.89,85.99,88.2,91.33,81.68,83.86,85.42,85.63,89.66,95.39,100.56,102.37,102.62,97.51,86.54,96.01,102.93,102.07,100.62,106.34,113.43,100.39,78.5,78.69,86,96.65,97.08,104.05,88.96,92.23,96.4,88.49,71.85,71.73,69.63,67.27,71.16,70.48,57.75,56.26,53.08,59.26,68.6,79.8,93.36,103.89,116.37,117.44,101.8
334,          Ногооннуур,Баян-Өлгий,Ногооннуур,Хонь,58.18,59.63,59.61,62.15,65.66,58.64,58.92,54.99,53.73,56.84,59.37,61.35,65.32,63.98,67.36,67.3,69.91,73.49,75.65,78.08,81.36,72.84,65.59,58.33,55.93,60.9,58.32,62.22,54.63,52.74,43.55,45.59,46.77,48.27,48.28,50.31,53.5,55.76,53.51,41.41,30.09,30.54,38.7,47.22,58.37,61.74,73.52,83.78,89.91
340,          Сагсай,Баян-Өлгий,Сагсай,Хонь,38.18,37.35,37.35,40.73,37.36,35.5,36.48,35.74,36.64,37.62,38.99,40.4,42.76,41.56,44.87,44.79,45,48.05,50.87,49.86,48.67,43.65,42.58,41.59,43.14,49.36,51.64,56.68,44.19,47.58,46.95,48.54,40.08,41.64,46.21,49.1,49.82,52.7,49.03,43.53,37.52,40.62,48.22,53.05,62.75,70,77.88,84.87,84.41
346,          Толбо,Баян-Өлгий,Толбо,Хонь,56.3,37.29,58.16,60.63,62.42,55.26,53.6,45.66,44.9,46.6,49.88,52.09,52.67,51.14,53.77,56.41,56.73,51.49,57.27,60.16,62.27,56.77,45.56,43.77,48.85,58.01,61.26,64.43,53.25,53.63,52.26,50.42,46.66,47.23,47.07,47.49,50.11,51.22,42.3,40.41,42.67,50.43,61.28,70.85,86.75,91.57,100.58,107.04,105.45
352,          Улаанхус,Баян-Өлгий,Улаанхус,Хонь,86.6,88.29,88.93,96.97,90.16,84.53,87.01,79.6,80.97,89.45,93.86,97.39,98.46,90.06,95.09,96.7,101.03,99.38,99.67,101.67,104.67,88.62,72.06,63.2,70.5,79.6,85.85,93.88,86.58,85.74,78.04,72.8,65.34,67.27,68.48,70.81,75.73,81.16,82.4,70.03,58.85,62.02,67.11,75.24,90.76,94.15,101.41,108.9,110.61
358,          Цэнгэл,Баян-Өлгий,Цэнгэл,Хонь,80.03,79.83,78.74,87.42,78.59,83.34,85.63,77.52,77.19,86.11,86.67,88.34,90.42,88.76,89.95,86.2,90.16,89.64,82.72,88.41,89.12,82.43,69.96,64.21,71.53,79.06,81.58,88.54,83.43,83.84,83.36,74.74,64.27,65.31,63.83,64.16,70.07,78.89,82.42,78.84,71.42,80.08,83.01,102.42,123.46,125.63,132.44,132,136.98
