"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
                        11-р хороо,"6,791.","6,624.","6,692.","7,072.","6,635.","6,686."
                        12-р хороо,"11,728.","10,677.","10,426.","11,050.","10,730.","10,351."
                        13-р хороо,"4,384.","4,252.","4,490.","4,607.","4,570.","4,571."
                        14-р хороо,"4,761.","4,321.","4,423.","4,324.","4,389.","4,071."
                        15-р хороо,"4,592.","4,280.","4,514.","4,699.","4,443.","4,365."
                        16-р хороо,"7,638.","6,774.","6,715.","6,580.","6,760.","5,850."
                        17-р хороо,"9,275.","9,195.","8,823.","9,214.","9,867.","10,169."
                        18-р хороо,"10,232.","10,750.","11,182.","11,867.","12,282.","11,690."
                        19-р хороо,"5,917.","5,724.","6,025.","6,340.","6,072.","5,767."
                        20-р хороо,"7,881.","7,219.","7,833.","7,944.","8,855.","10,224."
                        21-р хороо,"8,065.","7,396.","7,617.","7,681.","7,795.","8,399."
                        22-р хороо,"7,569.","8,030.","8,172.","8,156.","8,082.","7,776."
                        23-р хороо,"5,769.","5,633.","5,730.","5,683.","5,549.","5,060."
                Баянзүрх,"308,672.","320,852.","327,123.","336,932.","343,619.","361,689."
                        1-р хороо,"7,663.","7,446.","7,292.","7,953.","8,081.","9,748."
                        26-р хороо,"8,214.","11,223.","11,573.","14,776.","16,601.","22,682."
                        2-р хороо,"11,180.","11,070.","11,099.","12,218.","12,553.","12,454."
                        27-р хороо,"13,570.","13,006.","12,099.","12,542.","12,594.","12,656."
                        3-р хороо,"5,933.","5,954.","6,200.","6,941.","7,109.","6,696."
                        28-р хороо,"8,209.","8,964.","9,073.","8,811.","9,100.","8,900."
                        4-р хороо,"15,730.","16,311.","16,265.","17,160.","18,062.","17,777."
                        5-р хороо,"18,834.","20,959.","21,731.","22,994.","23,536.","22,590."
                        6-р хороо,"11,076.","10,282.","13,470.","10,746.","10,373.","10,561."
                        7-р хороо,"6,340.","5,969.","6,167.","6,593.","6,649.","6,494."
                        8-р хороо,"14,750.","16,655.","17,389.","17,310.","18,753.","18,892."
                        9-р хороо,"13,416.","13,766.","13,701.","13,990.","13,672.","13,936."
                        10-р хороо,"7,375.","7,431.","7,515.","7,173.","7,128.","7,575."
                        11-р хороо,"7,034.","7,333.","7,083.","6,965.","7,381.","8,439."
                        12-р хороо,"14,173.","14,153.","14,244.","13,930.","13,520.","13,984."
                        13-р хороо,"9,134.","9,496.","10,022.","11,163.","11,163.","11,464."
                        14-р хороо,"12,633.","13,573.","13,121.","14,489.","14,438.","19,169."
                        15-р хороо,"6,915.","7,078.","7,088.","7,400.","7,414.","7,273."
                        16-р хороо,"15,779.","16,418.","17,448.","18,012.","18,966.","21,279."
                        17-р хороо,"11,025.","10,839.","11,062.","10,467.","10,333.","9,641."
                        18-р хороо,"11,037.","11,469.","11,272.","11,777.","13,091.","12,378."
                        19-р хороо,"11,296.","11,559.","11,345.","11,829.","11,561.","12,658."
                        20-р хороо,"6,915.","8,189.","8,275.","8,115.","7,990.","7,288."
                        21-р хороо,"10,983.","11,326.","11,456.","11,587.","11,127.","11,762."
                        22-р хороо,"12,971.","13,772.","13,759.","13,470.","13,024.","13,687."
                        23-р хороо,"15,184.","15,703.","15,512.","15,809.","15,514.","14,444."
                        24-р хороо,"9,455.","9,428.","9,512.","9,900.","9,535.","9,145."
                        25-р хороо,"11,848.","11,480.","12,350.","12,812.","14,351.","18,117."
                    Налайх,"34,547.","35,813.","36,425.","36,911.","37,608.","37,659."
                            1-р хороо,"6,054.","6,107.","6,200.","6,284.","6,014.","5,922."
                            2-р хороо,"7,909.","8,398.","8,541.","8,826.","8,931.","4,016."
                            3-р хороо,"5,358.","5,614.","5,722.","5,695.","5,809.","5,536."
                            4-р хороо,"6,611.","6,607.","6,708.","6,732.","7,216.","7,271."
                            5-р хороо,"2,741.","2,796.","2,846.","2,871.","3,018.","3,452."
                            6-р хороо,"1,510.","1,579.","1,653.","1,591.","1,613.","1,493."
                            7-р хороо,"4,364.","4,712.","4,755.","4,912.","5,007.","4,957."
                            8-р хороо,,,,,,"5,012."
                    Сонгинохайрхан,"295,827.","307,224.","315,802.","322,458.","321,150.","327,580."
                            1-р хороо,"14,481.","14,745.","14,569.","15,159.","14,179.","9,483."
                            26-р хороо,"16,786.","17,042.","17,732.","18,352.","19,095.","10,300."
                            2-р хороо,"12,617.","14,343.","14,037.","13,589.","14,491.","8,987."
                            27-р хороо,"6,026.","5,954.","6,180.","6,354.","6,729.","7,428."
                            3-р хороо,"10,372.","10,942.","11,091.","11,365.","10,171.","9,335."
                            28-р хороо,"7,098.","6,990.","6,912.","7,788.","7,834.","7,664."
                            4-р хороо,"7,779.","8,058.","8,199.","8,321.","7,689.","6,966."
                            29-р хороо,"7,184.","6,710.","7,148.","7,655.","7,181.","8,846."
                            5-р хороо,"8,399.","8,234.","8,465.","8,066.","7,746.","7,488."
                        30-р хороо,"6,510.","6,464.","6,623.","7,220.","7,088.","6,213."
                            6-р хороо,"7,512.","10,907.","12,612.","11,858.","14,534.","9,552."
                            31-р хороо,"11,235.","12,417.","12,122.","12,601.","12,386.","6,505."
                            7-р хороо,"16,669.","18,794.","19,249.","20,255.","20,091.","9,423."
                            32-р хороо,"3,384.","3,260.","3,216.","3,462.","3,474.","3,798."
                            8-р хороо,"9,264.","8,701.","9,242.","9,474.","8,504.","7,669."
                            9-р хороо,"8,743.","8,784.","8,772.","8,849.","8,284.","8,075."
                            10-р хороо,"9,813.","10,696.","10,827.","11,306.","10,976.","10,202."
                            11-р хороо,"10,063.","9,976.","10,055.","10,094.","9,844.","9,257."
                            12-р хороо,"5,320.","5,065.","5,130.","5,210.","4,849.","4,711."
                            13-р хороо,"5,470.","5,528.","5,610.","5,646.","5,894.","5,649."
                            14-р хороо,"5,605.","5,660.","5,819.","5,861.","5,981.","5,401."
                            15-р хороо,"5,742.","5,937.","6,102.","5,878.","5,988.","5,748."
                            16-р хороо,"5,238.","4,980.","5,036.","5,022.","5,350.","5,941."
                            17-р хороо,"5,124.","4,909.","4,980.","5,122.","5,513.","5,685."
                            18-р хороо,"8,769.","8,899.","11,352.","11,580.","11,298.","8,383."
                            19-р хороо,"10,314.","9,916.","10,655.","10,991.","10,288.","11,297."
                            20-р хороо,"7,024.","7,130.","6,863.","6,643.","6,639.","6,912."
                            21-р хороо,"6,653.","6,196.","6,400.","6,685.","6,466.","6,803."
                            22-р хороо,"17,755.","19,343.","20,093.","21,424.","22,641.","10,051."
                            23-р хороо,"13,382.","13,281.","13,420.","12,261.","12,661.","6,741."
                            24-р хороо,"12,853.","13,354.","13,613.","14,004.","13,841.","8,097."
                            25-р хороо,"12,643.","14,009.","13,678.","14,363.","13,445.","9,005."
                            33-р хороо,,,,,,"11,728."
                            34-р хороо,,,,,,"7,872."
                        35-р хороо,,,,,,"5,215."
                            36-р хороо,,,,,,"8,533."
                            37-р хороо,,,,,,"8,541."
                            38-р хороо,,,,,,"4,105."
                            39-р хороо,,,,,,"6,211."
                        40-р хороо,,,,,,"8,937."
                            41-р хороо,,,,,,"7,693."
                            42-р хороо,,,,,,"5,199."
                            43-р хороо,,,,,,"5,931."
                    Сүхбаатар,"136,424.","137,633.","136,569.","138,047.","145,335.","144,409."
                            1-р хороо,"5,670.","6,973.","6,407.","6,739.","8,274.","9,124."
                            2-р хороо,"4,360.","3,917.","3,801.","3,787.","3,706.","3,643."
                            3-р хороо,"7,550.","7,527.","7,492.","7,641.","8,677.","9,126."
                            4-р хороо,"3,407.","3,281.","3,327.","3,291.","3,304.","3,311."
                            5-р хороо,"4,755.","4,580.","4,549.","4,692.","4,965.","5,089."
                            6-р хороо,"5,980.","5,652.","5,566.","5,621.","5,884.","5,756."
                            7-р хороо,"7,859.","8,486.","8,556.","8,823.","9,298.","9,350."
                            8-р хороо,"10,902.","8,645.","8,133.","7,939.","8,421.","7,717."
                            9-р хороо,"6,498.","6,901.","6,559.","6,339.","6,550.","6,496."
                            10-р хороо,"9,064.","8,980.","8,886.","9,068.","10,438.","10,258."
                            11-р хороо,"8,719.","9,611.","10,499.","11,616.","11,856.","14,567."
                            12-р хороо,"7,872.","7,801.","7,297.","7,010.","7,754.","6,719."
                            13-р хороо,"8,636.","9,152.","9,017.","8,968.","9,223.","8,528."
                            14-р хороо,"6,276.","5,879.","5,847.","5,720.","5,741.","5,225."
