"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                            4-р баг, Хаг","1,003.","1,029.","1,101.","1,163.","1,145.",717.
"                            5-р баг, Уужим","1,458.","1,469.","1,468.","1,522.","1,554.","1,485."
"                            6-р баг, Даян",474.,486.,493.,531.,537.,562.
"                        7-р баг, Өмнөгол",,,,,,609.
                    Толбо,"3,939.","4,037.","4,105.","4,169.","4,173.","4,186."
"                            1-р баг, Хош",728.,743.,753.,756.,746.,733.
"                            2-р баг, Толбо нуур",588.,594.,612.,643.,643.,621.
"                            3-р баг, Хонгор өлөн",569.,573.,594.,608.,617.,603.
"                            4-р баг, Дөрөө нуур",512.,561.,555.,550.,542.,546.
"                            5-р баг, Хөх толгой","1,127.","1,126.","1,160.","1,166.","1,175.","1,254."
"                            6-р баг, Бураат",415.,440.,431.,446.,450.,429.
                    Улаанхус,"8,010.","8,299.","8,357.","8,548.","8,602.","8,633."
"                            1-р баг, Их ойгор","1,077.","1,125.","1,099.","1,126.","1,128.","1,114."
"                            2-р баг, Хөх хөтөл","1,381.","1,442.","1,487.","1,535.","1,534.",716.
"                            3-р баг, Хулжаа",783.,836.,807.,829.,820.,820.
"                            4-р баг, Согоог",981.,"1,002.","1,012.","1,012.","1,045.","1,041."
"                            5-р баг, Баян зүрх",681.,701.,723.,735.,748.,750.
"                            6-р баг, Даян",950.,"1,014.","1,002.","1,032.","1,050.",539.
"                            7-р баг, Билүү",976.,985.,"1,009.","1,052.","1,035.","1,033."
"                            8-р баг, Билүү 2","1,181.","1,194.","1,218.","1,227.","1,242.",587.
"                            9-р баг, Улаан эрэг",,,,,,654.
"                            10-р баг, Хөх адар",,,,,,515.
"                            11-р баг, Хар ямаат",,,,,,864.
                    Цэнгэл,"8,744.","8,943.","9,149.","9,322.","9,468.","9,591."
"                            1-р баг, Шарговь",946.,970.,957.,968.,997.,998.
"                            2-р баг, Загаст нуур",781.,806.,816.,886.,870.,889.
"                            3-р баг, Цагаан түнгэ","1,413.","1,401.","1,444.","1,435.","1,453.","1,462."
"                            4-р баг, Хар уул",382.,391.,400.,394.,415.,422.
