GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G66,National,Western,Завхан,MN81,Отгон,MN8107,"5-р баг, Онц",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.84,7.76,8.13,9.12,10,11.13,11.44,8.21
G67,National,Western,Завхан,MN81,Отгон,MN8107,"6-р баг, Хужирт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,3.41,3.56,3.53,3.88,5.19,5.55,6.01,5.7
G68,National,Western,Завхан,MN81,Сантмаргац,MN8126,,Ямаа,16.59,18.82,19.65,20.15,19.16,17.18,17.75,16.24,18.29,17.48,16.05,11.08,13.53,13.84,11.98,13.53,14.5,14.67,15.86,16.81,18.24,17.84,17.66,20.74,26.94,31.87,33.68,37.29,42.27,37.64,31.39,32.56,33.59,39.45,47.22,44.1,55.5,65.33,56.06,48.73,40.43,45.69,47.35,51.58,59.46,62.58,61.58,68.18,56.66,64.6,64.64
G69,National,Western,Завхан,MN81,Сантмаргац,MN8126,"1-р баг, Баян-Улаан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53,11.65,12.07,12.88,11.72,13.36,10.54,14.02,14.19
G70,National,Western,Завхан,MN81,Сантмаргац,MN8126,"2-р баг, Баяннуур",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99,18.64,21.28,22.32,23.16,24.5,20.46,22.09,21.83
G71,National,Western,Завхан,MN81,Сантмаргац,MN8126,"3-р баг, Баяндавс",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47,13.34,15.77,16.57,15.65,17.73,15.84,18,17.98
G72,National,Western,Завхан,MN81,Сантмаргац,MN8126,"4-р баг, Холбоо",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,7.95,10.35,10.81,11.05,12.59,9.81,10.49,10.64
G73,National,Western,Завхан,MN81,Сонгино,MN8123,,Ямаа,13.11,13.27,11.26,10.22,10.37,10.74,11.46,10.14,11.25,10.85,9.24,8.31,8.74,9.25,7.67,8.04,8.52,8.9,9.65,10.78,11.43,10.6,10.59,10.99,13.36,15.53,18,20.26,20.01,18.85,16.28,13.95,18.59,23.9,29.14,32.31,38.27,41.75,43.76,37.5,15.78,20.91,23.94,24.96,28.04,32.42,35.67,37.1,35.7,42.35,43.21
G74,National,Western,Завхан,MN81,Сонгино,MN8123,"1-р баг, Баян-Айраг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,3.85,4.39,5.42,6.3,6.8,6.99,8.09,9.15
G75,National,Western,Завхан,MN81,Сонгино,MN8123,"2-р баг, Айраг нуур",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,4.85,5.47,5.92,6.23,6.43,6.18,6.78,6.79
G76,National,Western,Завхан,MN81,Сонгино,MN8123,"3-р баг, Шар нуруу",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,7.14,8.4,9.41,10.46,10.92,9.99,11.17,10.37
G77,National,Western,Завхан,MN81,Сонгино,MN8123,"4-р баг, Тариат",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,7.49,8.06,9.6,10.23,10.65,10.47,13.27,13.52
G78,National,Western,Завхан,MN81,Сонгино,MN8123,"5-р баг, Бор-Өндөр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.63,1.72,2.07,2.45,2.3,2.08,3.03,3.39
G79,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,,Ямаа,0.55,0.64,0.27,0.24,0.23,0.3,0.36,0.42,0.67,0.7,0.82,0.93,0.87,0.86,0.84,1.06,1.08,0.97,0.97,1.64,2.16,2.7,,,,,,,,,26.73,13.24,16.67,22.28,29.29,38.4,49.22,61.99,67.04,61.08,37.47,43.36,44.37,47.16,54.46,59.28,61.71,57.55,60.13,63.97,52.14
G80,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"1-р баг, Дархан-Уул",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.25,1.6,1.7,1.51,0.98,0.88,1.12,1.25
G81,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"2-р баг, Хайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.79,2.14,1.85,2.02,1.53,1.59,1.6,1.52
G82,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"3-р баг, Улаантолгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,2.65,2.59,2.97,3.39,2.73,3.27,3.69,2.95
G83,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"4-р баг, Рашаант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97,10.54,12.04,13.36,13.91,14.77,14.94,16.17,13.17
G84,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"5-р баг, Баян-Улаан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,5.74,6.83,7.76,8.32,8.26,8.08,8.69,6.86
G85,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"6-р баг, Идэр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12,14.62,16.89,17.75,18.02,16.25,16.87,16.95,14.21
G86,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"7-р баг, Оргих",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74,10.57,12.37,13.89,14.53,13.03,14.5,15.75,12.18
