HID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
H69,National,Western,Завхан,MN81,Сантмаргац,MN8126,"1-р баг, Баян-Улаан","1-р баг, Баян-Улаан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.83,0.97,1.08,1.15,1.45,1.46,1.7,1.69
H70,National,Western,Завхан,MN81,Сантмаргац,MN8126,"2-р баг, Баяннуур","2-р баг, Баяннуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,2.67,3.15,3.52,4.02,4.39,4.79,5.61,5.56
H71,National,Western,Завхан,MN81,Сантмаргац,MN8126,"3-р баг, Баяндавс","3-р баг, Баяндавс",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.22,1.37,1.53,1.52,1.72,1.81,2.16,2.14
H72,National,Western,Завхан,MN81,Сантмаргац,MN8126,"4-р баг, Холбоо","4-р баг, Холбоо",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.85,1.06,0.99,1.05,1.25,1.34,1.48,1.42
H73,National,Western,Завхан,MN81,Сонгино,MN8123,Сонгино,,Адуу,6.85,6.74,6.68,5.81,5.23,4.28,4.39,3.83,3.98,4.25,4.35,4.42,4.49,4.46,4.36,4.66,4.99,5.4,5.93,6.48,7.17,7.34,7.37,6.44,7.4,8.34,8.82,9.06,7.92,6.61,3.23,2.19,2.53,2.87,3.26,3.58,4.09,4.73,5.07,4.54,2.57,3.17,3.59,3.94,4.51,5.23,5.77,6.47,7.02,7.94,8.17
H74,National,Western,Завхан,MN81,Сонгино,MN8123,"1-р баг, Баян-Айраг","1-р баг, Баян-Айраг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.82,1.04,1.26,1.43,1.58,1.86,2.01,2.15
H75,National,Western,Завхан,MN81,Сонгино,MN8123,"2-р баг, Айраг нуур","2-р баг, Айраг нуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.95,1,1.08,1.12,1.21,1.33,1.45,1.48
H76,National,Western,Завхан,MN81,Сонгино,MN8123,"3-р баг, Шар нуруу","3-р баг, Шар нуруу",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.35,1.56,1.8,2,2.28,2.37,2.62,2.64
H77,National,Western,Завхан,MN81,Сонгино,MN8123,"4-р баг, Тариат","4-р баг, Тариат",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.55,0.61,0.75,0.82,0.94,0.92,1.18,1.16
H78,National,Western,Завхан,MN81,Сонгино,MN8123,"5-р баг, Бор-Өндөр","5-р баг, Бор-Өндөр",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.28,0.3,0.33,0.4,0.46,0.54,0.69,0.74
H79,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,Тосонцэнгэл,,Адуу,1.43,1.54,1.21,1.04,1.19,1.12,1.01,1,0.46,0.4,0.45,0.46,0.44,0.44,0.7,1.48,1.83,1.58,1.47,1.45,2.19,2.54,,,,,,,,,13.8,8.16,7.02,5.86,5.9,6.09,6.9,7.33,8.44,8.8,7.73,8.69,8.96,9.49,10.77,11.65,13.63,14.64,16,17.4,17.77
H80,National,Western,Завхан,MN81,Тосонцэнгэл,MN8103,"1-р баг, Дархан-Уул","1-р баг, Дархан-Уул",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.34,0.35,0.38,0.45,0.47,0.53,0.55,0.72
